['http://192.168.1.192:8086/vul/sqli/sqli_id.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_02.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS JavaScript目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL bool blinds  vulnerability']
['http://192.168.1.192:8086/vul/sqli/sqli_blind_t.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/dir/dir.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/burteforce/bf_form.php', '暴力破解漏洞:表单暴力破解漏洞文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xss/xss_04.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/unserilization/unserilization.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/index.php', '文件包含漏洞:远程文件包含漏洞远程代码执行漏洞:远程代码漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/dir/dir_list.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xxe/xxe_1.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_search.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL inject vulnerability']
['http://192.168.1.192:8086/pikachu/unserilization.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/urlredirect.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_del.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/unsafedownload/unsafedownload.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/op.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/burteforce/bf_form.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/csrf/csrftoken/token_get_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/urlredirect/urlredirect.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/rce/rce_eval.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/sqli.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/urlredirect/unsafere.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/xss/xss_reflected_get.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/xss/xssblind/xss_blind.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/unsafeupload/upload.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xss/xss_02.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_dom.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS DOM目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/rce/rce_ping.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/rce/rce.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/csrf.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/xxe/xxe.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_x.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xsspost/post_login.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS POST Reflected目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/overpermission/op1/op1_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xssblind/xss_blind.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/dir_list.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/unsafere.php.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/unsafeupload/clientcheck.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_widebyte.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/pkxss/index.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/csrf/csrftoken/token_get_login.php', 'CSRF漏洞:CSRF Token文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_iu/sqli_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/ssrf.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/csrf/csrf.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/dir/dir.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/urlredirect/urlredirect.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/fileinclude/fi_remote.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/infoleak/infoleak.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/overpermission/op1/op1_login.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/infoleak/infoleak.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/unserilization/unser.php', '文件包含漏洞:远程文件包含漏洞PHP反序列化漏洞:PHP反序列化漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/burteforce.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/burteforce/bf_token.php', '文件包含漏洞:远程文件包含漏洞远程代码执行漏洞:远程代码漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/overpermission/op.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/fileinclude/fileinclude.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/xss/xss_03.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/dir.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/xss_stored.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/urlredirect/unsafere.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/overpermission/op2/op2_login.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xxe/xxe.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_str.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL inject vulnerability']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_del.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL inject vulnerability']
['http://192.168.1.192:8086/vul/unserilization/unser.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_header/sqli_header_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/infoleak.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/burteforce/burteforce.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/ssrf/ssrf_curl.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/xss/xss.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/overpermission/op2/op2_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_blind_b.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL bool blinds  vulnerability']
['http://192.168.1.192:8086/pikachu/xee.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/ssrf/ssrf_fgc.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_03.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS Href目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/fileinclude/fi_local.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_header/sqli_header_login.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/infoleak/findabc.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/ssrf/ssrf.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/unsafeupload/getimagesize.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/upload.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/unsafeupload/servercheck.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/fileinclude.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/ssrf/ssrf_curl.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_reflected_get.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS GET Reflected目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL bool blinds  vulnerability']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_dom_x.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS DOM目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/xss/xss_stored.php', '文件包含漏洞:远程文件包含漏洞XSS漏洞:XSS Stored目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/xss/xss_01.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/execdownload.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/op.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/vul/xss/xsspost/post_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/csrf/csrfpost/csrf_post_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/vul/xss/xss_dom.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/xss.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/unsafere.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/rce/rce_ping.php', '文件包含漏洞:远程文件包含漏洞远程代码执行漏洞:远程命令漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/burteforce/bf_server.php', '暴力破解漏洞:服务端暴力破解漏洞文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/pikachu/vul/sqli/sqli_blind_t.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞, SQL time blinds vulnerability']
['http://192.168.1.192:8086/pikachu/vul/unsafeupload/servercheck.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/csrf/csrfget/csrf_get_login.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/vul/rce/rce_eval.php', '文件包含漏洞:远程文件包含漏洞远程代码执行漏洞:远程代码漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
['http://192.168.1.192:8086/vul/sqli/sqli_blind_b.php', '文件包含漏洞:远程文件包含漏洞']
['http://192.168.1.192:8086/pikachu/xss.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/ssrf_curl.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞']
['http://192.168.1.192:8086/pikachu/vul/overpermission/op.php', '文件包含漏洞:远程文件包含漏洞目录遍历漏洞:目录遍历漏洞文件上传和下载漏洞:文件下载漏洞']
